timestamp,sport,game_id,game,side,market,bets_pct,money_pct,open_line,current_line,injury_news,key_number_note,dk_start_iso
2025-12-31T06:00:33.786226+00:00,nfl,32225703,DAL Cowboys @ NY Giants,DAL Cowboys,splits,81,52,,DAL Cowboys @ -205,,,
2025-12-31T06:00:33.786226+00:00,nfl,32225703,DAL Cowboys @ NY Giants,DAL Cowboys -3.5,splits,71,67,,DAL Cowboys -3.5 @ -108,,,
2025-12-31T06:00:33.786226+00:00,nfl,32225703,DAL Cowboys @ NY Giants,NY Giants +3.5,splits,29,33,,NY Giants +3.5 @ -112,,,
2025-12-31T06:00:33.786226+00:00,nfl,32225703,DAL Cowboys @ NY Giants,Over 51.5,splits,49,70,,Over 51.5 @ -110,,,
2025-12-31T06:00:33.786226+00:00,nfl,32225703,DAL Cowboys @ NY Giants,Under 51.5,splits,51,30,,Under 51.5 @ -110,,,
2025-12-31T06:00:33.786226+00:00,nfl,32225786,GB Packers @ MIN Vikings,MIN Vikings,splits,43,12,,MIN Vikings @ -305,,,
2025-12-31T06:00:33.786226+00:00,nfl,32225786,GB Packers @ MIN Vikings,GB Packers,splits,57,88,,GB Packers @ +245,,,
2025-12-31T06:00:33.786226+00:00,nfl,32225786,GB Packers @ MIN Vikings,MIN Vikings -6.5,splits,37,59,,MIN Vikings -6.5 @ -105,,,
2025-12-31T06:00:33.786226+00:00,nfl,32225786,GB Packers @ MIN Vikings,GB Packers +6.5,splits,63,41,,GB Packers +6.5 @ -115,,,
2025-12-31T06:00:33.786226+00:00,nfl,32225786,GB Packers @ MIN Vikings,Over 36.5,splits,61,9,,Over 36.5 @ -110,,,
2025-12-31T06:00:33.786226+00:00,nfl,32225786,GB Packers @ MIN Vikings,Under 36.5,splits,39,91,,Under 36.5 @ -110,,,
2025-12-31T06:00:33.786226+00:00,nfl,32225464,NO Saints @ ATL Falcons,ATL Falcons,splits,68,33,,ATL Falcons @ -185,,,
2025-12-31T06:00:33.786226+00:00,nfl,32225464,NO Saints @ ATL Falcons,NO Saints,splits,32,67,,NO Saints @ +154,,,
2025-12-31T06:00:33.786226+00:00,nfl,32225464,NO Saints @ ATL Falcons,ATL Falcons -3.5,splits,56,61,,ATL Falcons -3.5 @ -102,,,
2025-12-31T06:00:33.786226+00:00,nfl,32225464,NO Saints @ ATL Falcons,NO Saints +3.5,splits,44,39,,NO Saints +3.5 @ -118,,,
2025-12-31T06:00:33.786226+00:00,nfl,32225464,NO Saints @ ATL Falcons,Over 43.5,splits,79,92,,Over 43.5 @ -115,,,
2025-12-31T06:00:33.786226+00:00,nfl,32225464,NO Saints @ ATL Falcons,Under 43.5,splits,21,8,,Under 43.5 @ -105,,,
2025-12-31T06:00:33.786226+00:00,nfl,32225487,NY Jets @ BUF Bills,BUF Bills,splits,95,90,,BUF Bills @ -340,,,
2025-12-31T06:00:33.786226+00:00,nfl,32225487,NY Jets @ BUF Bills,NY Jets,splits,5,10,,NY Jets @ +270,,,
2025-12-31T06:00:33.786226+00:00,nfl,32225487,NY Jets @ BUF Bills,BUF Bills -7,splits,89,82,,BUF Bills -7 @ -115,,,
2025-12-31T06:00:33.786226+00:00,nfl,32225487,NY Jets @ BUF Bills,NY Jets +7,splits,11,18,,NY Jets +7 @ -105,,,
2025-12-31T06:00:33.786226+00:00,nfl,32225487,NY Jets @ BUF Bills,Over 38.5,splits,69,19,,Over 38.5 @ -105,,,
2025-12-31T06:00:33.786226+00:00,nfl,32225487,NY Jets @ BUF Bills,Under 38.5,splits,31,81,,Under 38.5 @ -115,,,
2025-12-31T06:00:33.786226+00:00,nfl,32225743,MIA Dolphins @ NE Patriots,NE Patriots,splits,90,57,,NE Patriots @ -650,,,
2025-12-31T06:00:33.786226+00:00,nfl,32225743,MIA Dolphins @ NE Patriots,MIA Dolphins,splits,10,43,,MIA Dolphins @ +470,,,
2025-12-31T06:00:33.786226+00:00,nfl,32225743,MIA Dolphins @ NE Patriots,NE Patriots -10.5,splits,57,57,,NE Patriots -10.5 @ -110,,,
2025-12-31T06:00:33.786226+00:00,nfl,32225743,MIA Dolphins @ NE Patriots,MIA Dolphins +10.5,splits,43,43,,MIA Dolphins +10.5 @ -110,,,
2025-12-31T06:00:33.786226+00:00,nfl,32225743,MIA Dolphins @ NE Patriots,Over 45.5,splits,71,40,,Over 45.5 @ -112,,,
2025-12-31T06:00:33.786226+00:00,nfl,32225743,MIA Dolphins @ NE Patriots,Under 45.5,splits,29,60,,Under 45.5 @ -108,,,
2025-12-31T06:01:18.114579+00:00,ncaaf,33273680,Iowa @ Vanderbilt,Vanderbilt,splits,83,46,,Vanderbilt @ -205,,,
2025-12-31T06:01:18.114579+00:00,ncaaf,33273680,Iowa @ Vanderbilt,Iowa,splits,17,54,,Iowa @ +170,,,
2025-12-31T06:01:18.114579+00:00,ncaaf,33273680,Iowa @ Vanderbilt,Vanderbilt -5.5,splits,51,43,,Vanderbilt -5.5 @ -108,,,
2025-12-31T06:01:18.114579+00:00,ncaaf,33273680,Iowa @ Vanderbilt,Iowa +5.5,splits,49,57,,Iowa +5.5 @ -112,,,
2025-12-31T06:01:18.114579+00:00,ncaaf,33273680,Iowa @ Vanderbilt,Over 45.5,splits,47,53,,Over 45.5 @ -108,,,
2025-12-31T06:01:18.114579+00:00,ncaaf,33273680,Iowa @ Vanderbilt,Under 45.5,splits,53,47,,Under 45.5 @ -112,,,
2025-12-31T06:01:18.114579+00:00,ncaaf,33273923,Arizona State @ Duke,Duke,splits,54,64,,Duke @ -170,,,
2025-12-31T06:01:18.114579+00:00,ncaaf,33273923,Arizona State @ Duke,Arizona State,splits,46,36,,Arizona State @ +142,,,
2025-12-31T06:01:18.114579+00:00,ncaaf,33273923,Arizona State @ Duke,Duke -3.5,splits,52,64,,Duke -3.5 @ -102,,,
2025-12-31T06:01:18.114579+00:00,ncaaf,33273923,Arizona State @ Duke,Arizona State +3.5,splits,48,36,,Arizona State +3.5 @ -118,,,
2025-12-31T06:01:18.114579+00:00,ncaaf,33273923,Arizona State @ Duke,Over 47.5,splits,69,75,,Over 47.5 @ -115,,,
2025-12-31T06:01:18.114579+00:00,ncaaf,33273923,Arizona State @ Duke,Under 47.5,splits,31,25,,Under 47.5 @ -105,,,
2025-12-31T06:01:18.114579+00:00,ncaaf,33273274,Michigan @ Texas,Texas,splits,86,74,,Texas @ -285,,,
2025-12-31T06:01:18.114579+00:00,ncaaf,33273274,Michigan @ Texas,Michigan,splits,14,26,,Michigan @ +230,,,
2025-12-31T06:01:18.114579+00:00,ncaaf,33273274,Michigan @ Texas,Texas -7,splits,72,84,,Texas -7 @ -115,,,
2025-12-31T06:01:18.114579+00:00,ncaaf,33273274,Michigan @ Texas,Michigan +7,splits,28,16,,Michigan +7 @ -105,,,
2025-12-31T06:01:18.114579+00:00,ncaaf,33273274,Michigan @ Texas,Over 48.5,splits,48,52,,Over 48.5 @ -105,,,
2025-12-31T06:01:18.114579+00:00,ncaaf,33273274,Michigan @ Texas,Under 48.5,splits,52,48,,Under 48.5 @ -115,,,
2025-12-31T06:01:18.114579+00:00,ncaaf,33273278,Nebraska @ Utah,Utah,splits,90,78,,Utah @ -600,,,
2025-12-31T06:01:18.114579+00:00,ncaaf,33273278,Nebraska @ Utah,Nebraska,splits,10,22,,Nebraska @ +440,,,
2025-12-31T06:01:18.114579+00:00,ncaaf,33273278,Nebraska @ Utah,Utah -14.5,splits,60,61,,Utah -14.5 @ -105,,,
2025-12-31T06:01:18.114579+00:00,ncaaf,33273278,Nebraska @ Utah,Nebraska +14.5,splits,40,39,,Nebraska +14.5 @ -115,,,
2025-12-31T06:01:18.114579+00:00,ncaaf,33273278,Nebraska @ Utah,Over 50.5,splits,50,77,,Over 50.5 @ -115,,,
2025-12-31T06:01:18.114579+00:00,ncaaf,33273278,Nebraska @ Utah,Under 50.5,splits,50,23,,Under 50.5 @ -105,,,
2025-12-31T06:01:18.114579+00:00,ncaaf,33273932,Miami FL @ Ohio State,Ohio State,splits,85,83,,Ohio State @ -360,,,
2025-12-31T06:01:18.114579+00:00,ncaaf,33273932,Miami FL @ Ohio State,Miami FL,splits,15,17,,Miami FL @ +285,,,
2025-12-31T06:01:18.114579+00:00,ncaaf,33273932,Miami FL @ Ohio State,Ohio State -9.5,splits,61,75,,Ohio State -9.5 @ -110,,,
2025-12-31T06:01:18.114579+00:00,ncaaf,33273932,Miami FL @ Ohio State,Miami FL +9.5,splits,39,25,,Miami FL +9.5 @ -110,,,
2025-12-31T06:01:18.114579+00:00,ncaaf,33273932,Miami FL @ Ohio State,Over 40.5,splits,63,62,,Over 40.5 @ -115,,,
2025-12-31T06:01:18.114579+00:00,ncaaf,33273932,Miami FL @ Ohio State,Under 40.5,splits,37,38,,Under 40.5 @ -105,,,
2025-12-31T06:01:18.114579+00:00,ncaaf,33273925,Oregon @ Texas Tech,Texas Tech,splits,48,39,,Texas Tech @ +110,,,
2025-12-31T06:01:18.114579+00:00,ncaaf,33273925,Oregon @ Texas Tech,Oregon,splits,52,61,,Oregon @ -130,,,
2025-12-31T06:01:18.114579+00:00,ncaaf,33273925,Oregon @ Texas Tech,Oregon -2.5,splits,56,65,,Oregon -2.5 @ -108,,,
2025-12-31T06:01:18.114579+00:00,ncaaf,33273925,Oregon @ Texas Tech,Texas Tech +2.5,splits,44,35,,Texas Tech +2.5 @ -112,,,
2025-12-31T06:01:18.114579+00:00,ncaaf,33273925,Oregon @ Texas Tech,Over 51.5,splits,68,60,,Over 51.5 @ -112,,,
2025-12-31T06:01:18.114579+00:00,ncaaf,33273925,Oregon @ Texas Tech,Under 51.5,splits,32,40,,Under 51.5 @ -108,,,
2025-12-31T06:01:18.114579+00:00,ncaaf,33273928,Alabama @ Indiana,Indiana,splits,62,31,,Indiana @ -245,,,
