run_label,mode,logged_at_raw,logged_at_utc,since_ny,sport,game_id,game,game_key,market,side,color,is_dark_green_high_underdog,espn_day,final_home,final_home_score,final_away,final_away_score,outcome
HISTORICAL_BACKFILL_BASELINE,HISTORICAL_BACKFILL,2026-01-01 00:40:29.334995+00:00,2026-01-01T00:40:29.334995+00:00,2025-12-30,ncaab,33380242,George Washington @ Richmond,f291e2f410f337120e6e280b991c9020,TOTAL,Over 162.5,LIGHT_GREEN,False,20251230,San Diego Toreros,93,Gonzaga Bulldogs,99,WIN
HISTORICAL_BACKFILL_BASELINE,HISTORICAL_BACKFILL,2026-01-01 00:44:41.992044+00:00,2026-01-01T00:44:41.992044+00:00,2025-12-30,ncaab,33380242,George Washington @ Richmond,f291e2f410f337120e6e280b991c9020,TOTAL,Over 162.5,LIGHT_GREEN,False,20251230,San Diego Toreros,93,Gonzaga Bulldogs,99,WIN
HISTORICAL_BACKFILL_BASELINE,HISTORICAL_BACKFILL,2026-01-01 00:49:31.971028+00:00,2026-01-01T00:49:31.971028+00:00,2025-12-30,ncaab,33380242,George Washington @ Richmond,f291e2f410f337120e6e280b991c9020,TOTAL,Over 162.5,LIGHT_GREEN,False,20251230,San Diego Toreros,93,Gonzaga Bulldogs,99,WIN
HISTORICAL_BACKFILL_BASELINE,HISTORICAL_BACKFILL,2026-01-01 00:52:49.661055+00:00,2026-01-01T00:52:49.661055+00:00,2025-12-30,ncaab,33380242,George Washington @ Richmond,f291e2f410f337120e6e280b991c9020,TOTAL,Over 162.5,LIGHT_GREEN,False,20251230,San Diego Toreros,93,Gonzaga Bulldogs,99,WIN
HISTORICAL_BACKFILL_BASELINE,HISTORICAL_BACKFILL,2026-01-01 00:28:39.240420+00:00,2026-01-01T00:28:39.240420+00:00,2025-12-30,ncaab,33383534,Georgia Southern @ Coastal Carolina,899f88134b97d9f2f5869f26ffef0e36,TOTAL,Over 157.5,LIGHT_GREEN,False,20251230,North Carolina Tar Heels,79,Florida State Seminoles,66,LOSS
HISTORICAL_BACKFILL_BASELINE,HISTORICAL_BACKFILL,2026-01-01 00:38:23.066421+00:00,2026-01-01T00:38:23.066421+00:00,2025-12-30,ncaab,33383534,Georgia Southern @ Coastal Carolina,899f88134b97d9f2f5869f26ffef0e36,TOTAL,Over 157.5,LIGHT_GREEN,False,20251230,North Carolina Tar Heels,79,Florida State Seminoles,66,LOSS
HISTORICAL_BACKFILL_BASELINE,HISTORICAL_BACKFILL,2026-01-01 00:40:29.341923+00:00,2026-01-01T00:40:29.341923+00:00,2025-12-30,ncaab,33383534,Georgia Southern @ Coastal Carolina,899f88134b97d9f2f5869f26ffef0e36,TOTAL,Over 157.5,LIGHT_GREEN,False,20251230,North Carolina Tar Heels,79,Florida State Seminoles,66,LOSS
HISTORICAL_BACKFILL_BASELINE,HISTORICAL_BACKFILL,2026-01-01 00:44:42.000075+00:00,2026-01-01T00:44:42.000075+00:00,2025-12-30,ncaab,33383534,Georgia Southern @ Coastal Carolina,899f88134b97d9f2f5869f26ffef0e36,TOTAL,Over 157.5,LIGHT_GREEN,False,20251230,North Carolina Tar Heels,79,Florida State Seminoles,66,LOSS
HISTORICAL_BACKFILL_BASELINE,HISTORICAL_BACKFILL,2026-01-01 00:49:31.978169+00:00,2026-01-01T00:49:31.978169+00:00,2025-12-30,ncaab,33383534,Georgia Southern @ Coastal Carolina,899f88134b97d9f2f5869f26ffef0e36,TOTAL,Over 157.5,LIGHT_GREEN,False,20251230,North Carolina Tar Heels,79,Florida State Seminoles,66,LOSS
HISTORICAL_BACKFILL_BASELINE,HISTORICAL_BACKFILL,2026-01-01 00:52:49.668161+00:00,2026-01-01T00:52:49.668161+00:00,2025-12-30,ncaab,33383534,Georgia Southern @ Coastal Carolina,899f88134b97d9f2f5869f26ffef0e36,TOTAL,Over 157.5,LIGHT_GREEN,False,20251230,North Carolina Tar Heels,79,Florida State Seminoles,66,LOSS
