logged_at_utc,logic_version,sport,game_id,game,market,side,color
2026-01-01T00:38:23.066421+00:00,v0.1,ncaab,33383534,Georgia Southern @ Coastal Carolina,TOTAL,Over 157.5,LIGHT_GREEN
2026-01-01T00:40:29.341923+00:00,v0.1,ncaab,33383534,Georgia Southern @ Coastal Carolina,TOTAL,Over 157.5,LIGHT_GREEN
2026-01-01T00:44:42.000075+00:00,v0.1,ncaab,33383534,Georgia Southern @ Coastal Carolina,TOTAL,Over 157.5,LIGHT_GREEN
2026-01-01T00:49:31.978169+00:00,v0.1,ncaab,33383534,Georgia Southern @ Coastal Carolina,TOTAL,Over 157.5,LIGHT_GREEN
2026-01-01T00:52:49.668161+00:00,v0.1,ncaab,33383534,Georgia Southern @ Coastal Carolina,TOTAL,Over 157.5,LIGHT_GREEN
2026-01-01T00:28:39.247486+00:00,v0.1,ncaab,33383541,Green Bay @ Purdue Fort Wayne,SPREAD,Green Bay +7.5,LIGHT_GREEN
2026-01-01T00:38:23.073568+00:00,v0.1,ncaab,33383541,Green Bay @ Purdue Fort Wayne,SPREAD,Green Bay +7.5,LIGHT_GREEN
2026-01-01T00:40:29.349023+00:00,v0.1,ncaab,33383541,Green Bay @ Purdue Fort Wayne,SPREAD,Green Bay +7.5,LIGHT_GREEN
2026-01-01T00:44:42.007682+00:00,v0.1,ncaab,33383541,Green Bay @ Purdue Fort Wayne,SPREAD,Green Bay +7.5,LIGHT_GREEN
2026-01-01T00:49:31.985422+00:00,v0.1,ncaab,33383541,Green Bay @ Purdue Fort Wayne,SPREAD,Green Bay +7.5,LIGHT_GREEN
2026-01-01T00:52:49.675453+00:00,v0.1,ncaab,33383541,Green Bay @ Purdue Fort Wayne,SPREAD,Green Bay +7.5,LIGHT_GREEN
2026-01-01T00:28:39.219598+00:00,v0.1,nba,33372971,GS Warriors @ CHA Hornets,MONEYLINE,GS Warriors,YELLOW
2026-01-01T00:28:39.230682+00:00,v0.1,nba,33372971,GS Warriors @ CHA Hornets,TOTAL,Over 235.5,YELLOW
2026-01-01T00:38:23.045985+00:00,v0.1,nba,33372971,GS Warriors @ CHA Hornets,MONEYLINE,GS Warriors,YELLOW
2026-01-01T00:38:23.056532+00:00,v0.1,nba,33372971,GS Warriors @ CHA Hornets,TOTAL,Over 235.5,YELLOW
2026-01-01T00:40:29.321768+00:00,v0.1,nba,33372971,GS Warriors @ CHA Hornets,MONEYLINE,GS Warriors,YELLOW
2026-01-01T00:40:29.332313+00:00,v0.1,nba,33372971,GS Warriors @ CHA Hornets,TOTAL,Over 235.5,YELLOW
2026-01-01T00:44:41.977273+00:00,v0.1,nba,33372971,GS Warriors @ CHA Hornets,MONEYLINE,GS Warriors,YELLOW
2026-01-01T00:44:41.989219+00:00,v0.1,nba,33372971,GS Warriors @ CHA Hornets,TOTAL,Over 235.5,YELLOW
2026-01-01T00:49:31.957726+00:00,v0.1,nba,33372971,GS Warriors @ CHA Hornets,MONEYLINE,GS Warriors,YELLOW
2026-01-01T00:49:31.968371+00:00,v0.1,nba,33372971,GS Warriors @ CHA Hornets,TOTAL,Over 235.5,YELLOW
